Alpha;SVM_1;SVM_2;SVM_3;WSVM_1;WSVM_2;WSVM_3;LSTM_1;LSTM_2;LSTM_3
0.005;;;;0;0.633333333;0.666666667;0;0;0
0.03;;;;0.5;0.533333333;0.566666667;0.9;0.933333333;1
0.055;;;;0.6;0.633333333;0.666666667;0.133333333;0.166666667;0.2
0.08;;;;0.8;0.833333333;0.866666667;0.4;0.433333333;0.466666667
0.105;;;;0.466666667;0.533333333;0.566666667;0.3;0.333333333;0.366666667
0.13;;;;0.266666667;0.333333333;0.366666667;0.3;0.333333333;0.366666667
0.155;;;;0.3;0.333333333;0.366666667;0.866666667;0.9;0.933333333
0.18;;;;0.633333333;0.7;0.733333333;0.433333333;0.466666667;0.5
0.205;;;;0.766666667;0.8;0.833333333;0.9;0.933333333;0.966666667
0.23;;;;0;0.466666667;0.5;0.9;0.933333333;0.966666667
0.255;;;;0.733333333;0.766666667;0.8;0.4;0.433333333;0.466666667
0.28;;;;0;0;0;0.5;0.6;0.633333333
0.305;;;;0.666666667;0.7;0.733333333;0.433333333;0.466666667;0.5
0.33;;;;0;0;0;0.433333333;0.466666667;0.5
0.355;;;;0.5;0.533333333;0.566666667;0.833333333;0.866666667;0.9
0.38;;;;0.5;0.533333333;0.566666667;0.3;0.333333333;0.366666667
0.405;;;;0;0;0.433333333;0;0.8;0.833333333
0.43;;;;0.7;0.733333333;0.766666667;0.5;0.533333333;0.566666667
0.455;;;;0.133333333;0.3;0.366666667;0.9;0.933333333;0.966666667
0.48;;;;0.166666667;0.633333333;0.666666667;0.966666667;1;-1
0.505;;;;0.5;0.533333333;0.566666667;0.7;0.733333333;0.766666667
0.53;;;;0.366666667;0.566666667;0.6;0.9;0.933333333;0.966666667
0.555;;;;0.3;0.366666667;0.5;0.6;0.666666667;0.733333333
0.58;;;;0.366666667;0.4;0.5;0.8;0.833333333;0.866666667
0.605;;;;0;0;0;0.366666667;0.4;0.433333333
0.63;;;;0;0.633333333;0.7;-1;-1;-1
0.655;;;;0;0;0;-1;-1;-1
0.68;;;;0.433333333;0.733333333;0.766666667;-1;-1;-1
0.705;;;;0;0;0;;;
0.73;;;;0;0;0;-1;-1;-1
0.755;;;;0;0;0;0.766666667;0.8;0.833333333
0.78;;;;0;0;0;0.766666667;0.8;0.833333333
0.805;;;;0;0;0;;;
0.83;;;;0;0;0;;;
0.855;;;;0;0;0;;;
0.88;;;;0;0;0;;;
0.905;;;;0;0;0;;;
0.93;;;;0;0;0;;;
0.955;;;;0;0;0;;;
0.98;;;;0;0;0;;;
1.005;;;;0;0;0;;;
1.03;;;;0;0;0;;;
1.055;;;;0;0;0;;;
1.08;;;;0;0.133333333;0.5;;;
1.105;;;;-1;-1;-1;;;
1.13;;;;0;0.066666667;-1;;;
1.155;;;;0;0;-1;;;
1.18;;;;0;0;0;;;
1.205;;;;0;0;0;;;
1.23;;;;-1;-1;-1;;;
1.255;;;;-1;-1;-1;-1;-1;-1
1.28;;;;0;0;-1;-1;-1;-1
1.305;-1;;;0;-1;-1;0.966666667;1;-1
1.33;;;;0.266666667;0.566666667;0.933333333;0.433333333;0.466666667;0.5
1.355;;;;0;-1;-1;0.933333333;0.966666667;1
1.38;;;;-1;-1;-1;0.9;1;-1
1.405;;;;0;-1;-1;-1;-1;-1
1.43;;;;-1;-1;-1;0.866666667;0.966666667;1
1.455;;;;-1;;;-1;-1;-1
1.48;;;;0.7;0.733333333;0.766666667;0.733333333;0.766666667;0.8
1.505;;;;-1;-1;-1;-1;-1;-1
1.53;-1;;;0.7;-1;-1;0.533333333;0.566666667;0.6
1.555;;;;-1;-1;-1;0.633333333;0.666666667;0.7
1.58;;;;0.866666667;0.933333333;-1;0.866666667;0.9;0.933333333
1.605;;;;0.5;0.7;0.733333333;0;0.166666667;0.2
1.63;;;;-1;-1;-1;0.966666667;1;-1
1.655;;;;-1;-1;-1;0.533333333;0.566666667;0.6
1.68;;;;1;-1;-1;0.466666667;0.5;0.6
1.705;;;;0.266666667;0.566666667;0.766666667;0.066666667;0.1;0.633333333
1.73;-1;;;0.5;0.633333333;0.766666667;0.666666667;0.7;0.733333333
1.755;;;;0.7;0.766666667;0.8;0.566666667;0.6;0.633333333
1.78;;;;0.8;-1;-1;0.633333333;0.666666667;0.7
1.805;-1;;;0.8;-1;-1;0.8;0.833333333;0.866666667
