Alpha;SVM_1;SVM_2;SVM_3;WSVM_1;WSVM_2;WSVM_3;LSTM_1;LSTM_2;LSTM_3
0.005;;;;0;0;0;;;
0.03;;;;0;0;0;;;
0.055;;;;0;0;0;;;
0.08;;;;0;0;0;;;
0.105;;;;0;0;0;;;
0.13;;;;0;0;0;;;
0.155;;;;0;0;0;;;
0.18;;;;0;0;0;;;
0.205;;;;0;0.8;-1;;;
0.23;;;;0;0;0;;;
0.255;-1;;;0;0;0;;;
0.28;;;;0;0;0;;;
0.305;;;;0;0;0;;;
0.33;-1;;;0;0;0;;;
0.355;;;;0;0;0.066666667;;;
0.38;;;;0;0;0;;;
0.405;-1;-1;-1;0;0;0;;;
0.43;;;;0;0;0;;;
0.455;;;;0.966666667;-1;-1;;;
0.48;-1;;;0.433333333;-1;-1;0.466666667;;
0.505;0.466666667;0.533333333;0.6;0.233333333;0.333333333;0.4;;;
0.53;-1;;;0.433333333;-1;-1;0;0;-1
0.555;-1;;;0;0;0.766666667;-1;;
0.58;-1;-1;-1;0;0;0;1;-1;-1
0.605;-1;-1;-1;0;0.8;-1;0.266666667;0.3;0.333333333
0.63;0.6;0.8;0.866666667;0.533333333;0.6;0.7;;;
0.655;0.533333333;0.6;0.666666667;0;0;0;0;0;0
0.68;0.733333333;0.8;0.933333333;0.433333333;0.533333333;0.566666667;-1;-1;-1
0.705;-1;-1;-1;0;-1;-1;-1;;
0.73;0.333333333;0.4;0.466666667;0.166666667;0.333333333;0.366666667;0.066666667;0.133333333;0.2
0.755;-1;-1;-1;-1;-1;-1;-1;-1;-1
0.78;0.8;0.866666667;0.933333333;0.766666667;0.8;0.833333333;0.5;0.533333333;0.566666667
0.805;0.466666667;0.733333333;0.8;0.4;0.433333333;0.466666667;0.366666667;0.466666667;0.533333333
0.83;0.6;0.666666667;0.733333333;0.6;0.633333333;0.666666667;0.666666667;0.7;0.8
0.855;0.866666667;0.933333333;1;0.866666667;0.9;0.933333333;0;0;0
0.88;0.733333333;0.866666667;0.933333333;0.466666667;0.566666667;0.666666667;0.866666667;0.9;0.933333333
0.905;0.933333333;1;-1;0;0.033333333;0.066666667;0.866666667;0.9;0.933333333
0.93;0.666666667;0.733333333;0.8;0.566666667;0.633333333;0.666666667;0.933333333;0.966666667;1
0.955;0.733333333;0.8;0.866666667;0.4;0.7;0.766666667;0.6;0.633333333;0.666666667
0.98;0.733333333;0.8;0.866666667;0.7;0.733333333;0.766666667;0.7;0.733333333;0.766666667
1.005;0.866666667;0.933333333;1;0.7;0.733333333;0.766666667;0.566666667;0.6;0.633333333
1.03;0.8;0.866666667;0.933333333;0.8;0.833333333;0.866666667;0.466666667;0.533333333;0.566666667
1.055;0.533333333;0.6;0.666666667;0.433333333;0.466666667;0.5;0.4;0.433333333;0.466666667
1.08;0.533333333;0.6;0.666666667;0.5;0.533333333;0.566666667;0.4;0.466666667;0.6
1.105;0.8;0.866666667;0.933333333;0.733333333;0.766666667;0.8;0.766666667;0.8;0.833333333
1.13;0.8;0.866666667;0.933333333;0.733333333;0.766666667;0.8;0.933333333;0.966666667;1
1.155;0.733333333;0.8;0.866666667;0.733333333;0.766666667;0.8;0.733333333;0.766666667;0.8
1.18;0.866666667;0.933333333;1;0.833333333;0.866666667;0.9;0;0;0.8
1.205;0.933333333;1;-1;0.866666667;0.9;0.933333333;0.666666667;0.7;0.733333333
1.23;0.866666667;0.933333333;1;0.8;0.833333333;0.866666667;0.8;0.833333333;0.866666667
1.255;0.933333333;1;-1;0.7;0.833333333;0.9;0.733333333;0.766666667;0.8
1.28;0.733333333;0.8;0.866666667;0.566666667;0.633333333;0.666666667;0.733333333;0.766666667;0.8
1.305;0.666666667;0.733333333;0.8;0.633333333;0.666666667;0.7;0.7;0.733333333;0.766666667
1.33;0.6;0.666666667;0.733333333;0.566666667;0.6;0.633333333;0;0;0
1.355;0.733333333;0.8;0.866666667;0.6;0.7;0.733333333;0.733333333;0.766666667;0.8
1.38;0.6;0.666666667;0.733333333;0.566666667;0.6;0.633333333;0.566666667;0.6;0.633333333
1.405;0.533333333;0.8;0.866666667;0.533333333;0.6;0.633333333;0.5;0.533333333;0.566666667
1.43;0.8;0.866666667;0.933333333;0.733333333;0.766666667;0.8;0.433333333;0.466666667;0.5
1.455;0.666666667;0.733333333;0.8;0.6;0.633333333;0.666666667;0.666666667;0.7;0.733333333
1.48;0.733333333;0.8;0.866666667;0.7;0.733333333;0.766666667;0.7;0.733333333;0.766666667
1.505;0.733333333;0.8;0.866666667;0.666666667;0.7;0.733333333;0.8;0.833333333;0.933333333
1.53;0.933333333;1;-1;0.733333333;0.8;0.833333333;0.366666667;0.4;0.766666667
1.555;0.866666667;0.933333333;1;0.666666667;0.733333333;0.766666667;0.866666667;0.9;0.933333333
1.58;0.666666667;0.733333333;0.8;0.666666667;0.7;0.733333333;0.666666667;0.7;0.833333333
1.605;0.666666667;0.733333333;0.8;0.633333333;0.666666667;0.7;0.766666667;0.8;0.833333333
1.63;0.733333333;0.8;0.866666667;0.633333333;0.7;0.733333333;0.833333333;0.866666667;0.9
