Alpha;SVM_1;SVM_2;SVM_3;WSVM_1;WSVM_2;WSVM_3;LSTM_1;LSTM_2;LSTM_3
0.005;;;;0;0;0;;;
0.03;;;;0;0;0.1;;;
0.055;;;;0;0;0;;;
0.08;;;;0;0;0;;;
0.105;;;;0;0;0;;;
0.13;;;;0;0;0;;;
0.155;;;;0;0;0;;;
0.18;;;;0;0;0;;;
0.205;;;;0;0;0;;;
0.23;;;;0;0;0;;;
0.255;;;;0;0;0;-1;-1;-1
0.28;;;;0;0;0;;;
0.305;;;;0;0.1;0.166666667;-1;-1;-1
0.33;;;;0;0;0;-1;;
0.355;;;;0;-1;-1;;;
0.38;;;;0;0;0;0.633333333;-1;-1
0.405;0.733333333;;;0.533333333;0.733333333;0.766666667;;;
0.43;1;-1;-1;0;0.7;0.933333333;0.7;0.833333333;0.866666667
0.455;0.3;0.533333333;-1;0.066666667;0.133333333;0.2;0.3;0.333333333;0.366666667
0.48;;;;0;0;0;0;0;0
0.505;-1;-1;-1;0;-1;-1;-1;-1;-1
0.53;0.6;0.666666667;0.7;0.366666667;0.4;0.5;0.4;0.466666667;0.5
0.555;-1;-1;-1;1;-1;-1;0.966666667;1;-1
0.58;0.866666667;0.9;0.933333333;0.066666667;0.433333333;0.633333333;0.533333333;0.6;0.633333333
0.605;0.9;0.966666667;1;0.5;0.666666667;0.833333333;0.633333333;0.866666667;0.9
0.63;0.7;0.733333333;0.766666667;0;0.7;0.733333333;0.666666667;0.7;0.733333333
0.655;0.166666667;0.366666667;0.4;0;0;0.1;0;0;0
0.68;0.633333333;0.666666667;0.7;0.6;0.633333333;0.666666667;0.8;0.833333333;0.866666667
0.705;0.8;0.833333333;0.866666667;0.7;0.733333333;0.766666667;0.733333333;0.766666667;0.8
0.73;0.7;0.733333333;0.8;0;0;0;0.7;0.733333333;0.766666667
0.755;0.7;0.8;0.833333333;0.566666667;0.6;0.633333333;0.566666667;0.6;0.633333333
0.78;0.466666667;0.5;0.533333333;0.333333333;0.366666667;0.4;0.333333333;0.366666667;0.4
0.805;-1;-1;-1;0.433333333;0.766666667;-1;-1;-1;-1
0.83;1;-1;-1;0;0.966666667;1;0.833333333;0.866666667;0.9
0.855;-1;-1;-1;0.966666667;-1;-1;0;0;0
0.88;-1;-1;-1;-1;-1;-1;0.9;-1;-1
0.905;1;-1;-1;0.966666667;1;-1;0.933333333;0.966666667;1
0.93;0.6;0.633333333;0.666666667;0.533333333;0.6;0.633333333;0.5;0.533333333;0.566666667
0.955;0.766666667;0.833333333;0.866666667;0.7;0.766666667;0.8;0.933333333;0.966666667;1
0.98;0.633333333;0.7;0.766666667;0.633333333;0.7;0.766666667;0.9;0.933333333;0.966666667
1.005;0.566666667;0.6;0.633333333;0.533333333;0.566666667;0.633333333;0.833333333;0.866666667;0.9
1.03;0.866666667;0.9;0.933333333;0.833333333;0.866666667;0.9;0.8;0.9;0.933333333
1.055;0.233333333;0.266666667;0.3;0.233333333;0.266666667;0.3;0.166666667;0.2;0.233333333
1.08;0.533333333;0.566666667;0.6;0.433333333;0.466666667;0.533333333;0.366666667;0.4;0.433333333
1.105;0.7;0.8;0.833333333;0.7;0.733333333;0.766666667;0.9;0.933333333;0.966666667
1.13;0.8;0.833333333;0.866666667;0.7;0.733333333;0.8;0.9;0.933333333;0.966666667
1.155;0.766666667;0.8;0.833333333;0.733333333;0.766666667;0.8;0.8;0.833333333;0.866666667
1.18;0.833333333;0.866666667;0.9;0.8;0.833333333;0.866666667;0.833333333;0.866666667;0.9
1.205;-1;-1;-1;-1;-1;-1;0.966666667;1;-1
1.23;0.566666667;0.6;0.633333333;0.466666667;0.5;0.566666667;0.833333333;0.866666667;0.9
1.255;0.8;0.833333333;0.866666667;0.8;0.833333333;0.866666667;0.933333333;0.966666667;1
1.28;0.766666667;0.8;0.833333333;0.633333333;0.766666667;0.8;0.866666667;0.9;0.933333333
1.305;0.633333333;0.666666667;0.7;0.633333333;0.666666667;0.7;0.733333333;0.766666667;0.8
1.33;0.6;0.633333333;0.666666667;0.566666667;0.6;0.633333333;0.8;0.833333333;0.866666667
1.355;0.6;0.633333333;0.666666667;0.6;0.633333333;0.666666667;0.733333333;0.766666667;0.8
1.38;0.9;0.933333333;0.966666667;0.733333333;0.766666667;0.8;0.666666667;0.7;0.733333333
1.405;0.733333333;0.766666667;0.8;0.666666667;0.733333333;0.766666667;0.8;0.833333333;0.866666667
1.43;0.8;0.833333333;0.866666667;0.8;0.833333333;0.866666667;0.733333333;0.833333333;0.866666667
1.455;0.833333333;0.866666667;0.9;0.733333333;0.833333333;0.866666667;0.9;0.933333333;0.966666667
1.48;0.766666667;0.833333333;0.866666667;0.733333333;0.766666667;0.833333333;0.4;0.733333333;0.833333333
1.505;0.766666667;0.8;0.833333333;0.733333333;0.766666667;0.8;0.866666667;0.9;0.933333333
1.53;0.7;0.733333333;0.766666667;0.633333333;0.666666667;0.7;0.766666667;0.8;0.833333333
1.555;0.7;0.733333333;0.766666667;0.633333333;0.666666667;0.7;0.9;0.966666667;1
1.58;0.766666667;0.8;0.833333333;0.666666667;0.733333333;0.766666667;0.666666667;0.933333333;0.966666667
1.605;0.633333333;0.666666667;0.7;0.566666667;0.6;0.633333333;0.766666667;0.8;0.833333333
1.63;0.833333333;0.866666667;0.9;0.8;0.833333333;0.866666667;0.933333333;0.966666667;1
1.655;0.6;0.633333333;0.666666667;0.6;0.633333333;0.666666667;0.866666667;0.9;0.933333333
1.68;0.7;0.733333333;0.766666667;0.633333333;0.666666667;0.7;0.9;0.933333333;0.966666667
1.705;0.833333333;0.866666667;0.9;0.8;0.833333333;0.866666667;0.866666667;0.9;0.933333333
1.73;0.6;0.733333333;0.766666667;0.6;0.633333333;0.666666667;0.9;0.933333333;0.966666667
1.755;0.566666667;0.6;0.633333333;0.533333333;0.566666667;0.6;0.733333333;0.766666667;0.8
1.78;0.633333333;0.7;0.733333333;0.5;0.533333333;0.566666667;0.7;0.766666667;0.8
1.805;0.766666667;0.8;0.833333333;0.733333333;0.766666667;0.8;0.8;0.833333333;0.866666667
