Alpha;SVM_1;SVM_2;SVM_3;WSVM_1;WSVM_2;WSVM_3;LSTM_1;LSTM_2;LSTM_3
0.005;;;;0;0;0;;;
0.03;-1;-1;-1;-1;-1;-1;-1;-1;-1
0.055;0.7;0.733333333;0.766666667;0.5;0.666666667;0.7;0.466666667;0.5;0.533333333
0.08;0.8;0.833333333;0.866666667;0.8;0.833333333;0.866666667;0.6;0.633333333;0.666666667
0.105;0.733333333;0.766666667;0.8;0.733333333;0.766666667;0.8;0.766666667;0.8;0.833333333
0.13;0.833333333;0.866666667;0.9;0.833333333;0.866666667;0.9;0.833333333;0.866666667;0.9
0.155;0.8;0.833333333;0.866666667;0.766666667;0.8;0.833333333;0.7;0.733333333;0.766666667
0.18;0.766666667;0.8;0.833333333;0.666666667;0.7;0.733333333;0.7;0.733333333;0.766666667
0.205;0.833333333;0.866666667;0.9;0.8;0.833333333;0.866666667;0.766666667;0.8;0.833333333
0.23;0.766666667;0.8;0.833333333;0.7;0.733333333;0.766666667;0.833333333;0.866666667;0.9
0.255;0.866666667;0.9;0.933333333;0.833333333;0.866666667;0.9;0.9;0.933333333;0.966666667
0.28;0.833333333;0.866666667;0.9;0.8;0.833333333;0.866666667;0.8;0.833333333;0.866666667
0.305;0.8;0.833333333;0.866666667;0.733333333;0.766666667;0.8;0.7;0.733333333;0.766666667
0.33;0.866666667;0.9;0.933333333;0.833333333;0.866666667;0.9;0.733333333;0.766666667;0.8
0.355;0.833333333;0.866666667;0.9;0.766666667;0.8;0.833333333;0.7;0.733333333;0.766666667
0.38;0.866666667;0.9;0.933333333;0.8;0.833333333;0.866666667;0.766666667;0.8;0.833333333
0.405;0.866666667;0.9;0.933333333;0.8;0.833333333;0.866666667;0.8;0.833333333;0.866666667
0.43;0.833333333;0.866666667;0.9;0.766666667;0.8;0.833333333;0.633333333;0.666666667;0.7
0.455;0.833333333;0.866666667;0.9;0.766666667;0.8;0.833333333;0.766666667;0.8;0.833333333
